"TaskName","Next Run Time","Status"
"\Adobe Flash Player Updater","11/20/2014 8:24:00 PM","Ready"
"\G2MUpdateTask-S-1-5-21-3654289230-3341979643-669150632-1001","11/20/2014 8:14:00 PM","Ready"
"\GoogleUpdateTaskMachineCore","11/21/2014 3:38:00 PM","Ready"
"\GoogleUpdateTaskMachineCore","11/21/2014 3:38:00 PM","Ready"
"\GoogleUpdateTaskMachineUA","11/20/2014 8:38:00 PM","Ready"
"\MATLAB R2013b Startup Accelerator","11/21/2014 8:02:00 AM","Ready"
"\MATLAB R2013b Startup Accelerator","11/21/2014 8:02:00 AM","Ready"
"\MATLAB R2013b Startup Accelerator","11/21/2014 8:02:00 AM","Ready"
"TaskName","Next Run Time","Status"
"TaskName","Next Run Time","Status"
"\Microsoft\Office\Office 15 Subscription Heartbeat","11/21/2014 7:31:00 AM","Ready"
"\Microsoft\Office\OfficeTelemetryAgentFallBack","N/A","Unknown"
"\Microsoft\Office\OfficeTelemetryAgentLogOn","N/A","Unknown"
"TaskName","Next Run Time","Status"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","Disabled",""
"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","Disabled",""
"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\AppID\PolicyConverter","Disabled",""
"\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck","Disabled",""
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Application Experience\AitAgent","11/21/2014 2:30:00 AM","Ready"
"\Microsoft\Windows\Application Experience\ProgramDataUpdater","11/21/2014 12:30:00 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Autochk\Proxy","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Bluetooth\UninstallDeviceTask","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\CertificateServicesClient\SystemTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\SystemTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\SystemTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask-Roam","Disabled",""
"\Microsoft\Windows\CertificateServicesClient\UserTask-Roam","Disabled",""
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Customer Experience Improvement Program\Consolidator","11/21/2014 1:00:00 PM","Could not start"
"\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask","11/27/2014 3:30:00 AM","Ready"
"\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip","11/23/2014 1:30:00 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Defrag\ScheduledDefrag","11/26/2014 2:50:11 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Diagnosis\Scheduled","11/23/2014 1:00:00 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector","Disabled",""
"\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver","Disabled",""
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Location\Notifications","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Maintenance\WinSAT","11/23/2014 1:00:00 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Media Center\ActivateWindowsSearch","N/A","Ready"
